goqualia, f400_k100, 256, 0.976992
goqualia, f400_k100, 512, 0.984113
goqualia, f400_k100, 1024, 0.990285
goqualia, f400_k100, 2048, 0.992173
goqualia, f400_k100, 4096, 0.994655
goqualia, f400_k200, 1, 0.672023
goqualia, f400_k200, 2, 0.698647
goqualia, f400_k200, 4, 0.738838
goqualia, f400_k200, 8, 0.786741
goqualia, f400_k200, 16, 0.832839
goqualia, f400_k200, 32, 0.871955
goqualia, f400_k200, 64, 0.898031
goqualia, f400_k200, 128, 0.925339
goqualia, f400_k200, 256, 0.946457
goqualia, f400_k200, 512, 0.971216
goqualia, f400_k200, 1024, 0.980904
goqualia, f400_k200, 2048, 0.986880
goqualia, f400_k200, 4096, 0.991653
goqualia, f400_k400, 1, 0.636467
goqualia, f400_k400, 2, 0.665647
goqualia, f400_k400, 4, 0.703933
goqualia, f400_k400, 8, 0.749673
goqualia, f400_k400, 16, 0.794433
goqualia, f400_k400, 32, 0.831409
goqualia, f400_k400, 64, 0.860466
goqualia, f400_k400, 128, 0.884396
goqualia, f400_k400, 256, 0.907286
goqualia, f400_k400, 512, 0.940898
goqualia, f400_k400, 1024, 0.961885
goqualia, f400_k400, 2048, 0.974550
goqualia, f400_k400, 4096, 0.985940
goqualia, f500_k100, 1, 0.702594
goqualia, f500_k100, 2, 0.730874
goqualia, f500_k100, 4, 0.769299
goqualia, f500_k100, 8, 0.817166
goqualia, f500_k100, 16, 0.865540
goqualia, f500_k100, 32, 0.902857
goqualia, f500_k100, 64, 0.929248
goqualia, f500_k100, 128, 0.954928
goqualia, f500_k100, 256, 0.975206
goqualia, f500_k100, 512, 0.983758
goqualia, f500_k100, 1024, 0.990032
goqualia, f500_k100, 2048, 0.991826
goqualia, f500_k100, 4096, 0.994118
goqualia, f500_k200, 1, 0.667080
goqualia, f500_k200, 2, 0.693997
goqualia, f500_k200, 4, 0.734582
goqualia, f500_k200, 8, 0.782242
goqualia, f500_k200, 16, 0.828982
goqualia, f500_k200, 32, 0.868736
goqualia, f500_k200, 64, 0.894880
goqualia, f500_k200, 128, 0.923364
goqualia, f500_k200, 256, 0.946577
goqualia, f500_k200, 512, 0.971500
goqualia, f500_k200, 1024, 0.981766
goqualia, f500_k200, 2048, 0.987509
goqualia, f500_k200, 4096, 0.991801
goqualia, f500_k400, 1, 0.640787
goqualia, f500_k400, 2, 0.669090
goqualia, f500_k400, 4, 0.706485
goqualia, f500_k400, 8, 0.751092
goqualia, f500_k400, 16, 0.795241
goqualia, f500_k400, 32, 0.831601
goqualia, f500_k400, 64, 0.859578
goqualia, f500_k400, 128, 0.883765
goqualia, f500_k400, 256, 0.906250
goqualia, f500_k400, 512, 0.942356
goqualia, f500_k400, 1024, 0.962391
goqualia, f500_k400, 2048, 0.975453
goqualia, f500_k400, 4096, 0.987061
goqualia, f600_k100, 1, 0.698040
goqualia, f600_k100, 2, 0.725866
goqualia, f600_k100, 4, 0.762720
goqualia, f600_k100, 8, 0.810674
goqualia, f600_k100, 16, 0.859279
goqualia, f600_k100, 32, 0.896904
goqualia, f600_k100, 64, 0.924997
goqualia, f600_k100, 128, 0.952308
goqualia, f600_k100, 256, 0.973952
goqualia, f600_k100, 512, 0.982596
goqualia, f600_k100, 1024, 0.989281
goqualia, f600_k100, 2048, 0.990591
goqualia, f600_k100, 4096, 0.992901
goqualia, f600_k200, 1, 0.658917
goqualia, f600_k200, 2, 0.687109
goqualia, f600_k200, 4, 0.730049
goqualia, f600_k200, 8, 0.778338
goqualia, f600_k200, 16, 0.825668
goqualia, f600_k200, 32, 0.866086
goqualia, f600_k200, 64, 0.893119
goqualia, f600_k200, 128, 0.921212
goqualia, f600_k200, 256, 0.945458
goqualia, f600_k200, 512, 0.969887
goqualia, f600_k200, 1024, 0.980639
goqualia, f600_k200, 2048, 0.986482
goqualia, f600_k200, 4096, 0.991276
